Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,pixel,0.0000,100,0.8961
1.5,pixel,0.0000,400,0.9444
1.5,pixel,0.0000,700,0.9583
1.5,pixel,0.0000,1000,0.9634
1.5,pixel,0.0000,1300,0.9629
1.5,pixel,0.0000,1600,0.9675
1.5,pixel,0.0000,1900,0.9696
1.5,pixel,0.0000,2100,0.9690
1.5,pixel,0.0000,2400,0.9664
1.5,pixel,0.0000,2700,0.9677
1.5,pixel,0.0000,3000,0.9678
1.5,pixel,0.0100,100,0.8370
1.5,pixel,0.0100,400,0.9064
1.5,pixel,0.0100,700,0.9211
1.5,pixel,0.0100,1000,0.9345
1.5,pixel,0.0100,1300,0.9399
1.5,pixel,0.0100,1600,0.9377
1.5,pixel,0.0100,1900,0.9434
1.5,pixel,0.0100,2100,0.9408
1.5,pixel,0.0100,2400,0.9425
1.5,pixel,0.0100,2700,0.9386
1.5,pixel,0.0100,3000,0.9415
1.5,pixel,0.0200,100,0.7812
1.5,pixel,0.0200,400,0.8689
1.5,pixel,0.0200,700,0.8980
1.5,pixel,0.0200,1000,0.8898
1.5,pixel,0.0200,1300,0.9001
1.5,pixel,0.0200,1600,0.9026
1.5,pixel,0.0200,1900,0.9101
1.5,pixel,0.0200,2100,0.9128
1.5,pixel,0.0200,2400,0.9133
1.5,pixel,0.0200,2700,0.9146
1.5,pixel,0.0200,3000,0.9068
1.5,pixel,0.0300,100,0.6393
1.5,pixel,0.0300,400,0.8280
1.5,pixel,0.0300,700,0.8558
1.5,pixel,0.0300,1000,0.8576
1.5,pixel,0.0300,1300,0.8667
1.5,pixel,0.0300,1600,0.8689
1.5,pixel,0.0300,1900,0.8766
1.5,pixel,0.0300,2100,0.8791
1.5,pixel,0.0300,2400,0.8790
1.5,pixel,0.0300,2700,0.8825
1.5,pixel,0.0300,3000,0.8800
1.5,pixel,0.0400,100,0.6414
1.5,pixel,0.0400,400,0.8077
1.5,pixel,0.0400,700,0.8401
1.5,pixel,0.0400,1000,0.8409
1.5,pixel,0.0400,1300,0.8537
1.5,pixel,0.0400,1600,0.8525
1.5,pixel,0.0400,1900,0.8517
1.5,pixel,0.0400,2100,0.8536
1.5,pixel,0.0400,2400,0.8593
1.5,pixel,0.0400,2700,0.8585
1.5,pixel,0.0400,3000,0.8641
1.5,pixel,0.0500,100,0.4746
1.5,pixel,0.0500,400,0.7791
1.5,pixel,0.0500,700,0.8176
1.5,pixel,0.0500,1000,0.8273
1.5,pixel,0.0500,1300,0.8229
1.5,pixel,0.0500,1600,0.8282
1.5,pixel,0.0500,1900,0.8274
1.5,pixel,0.0500,2100,0.8323
1.5,pixel,0.0500,2400,0.8295
1.5,pixel,0.0500,2700,0.8332
1.5,pixel,0.0500,3000,0.8365
1.5,pixel,0.0600,100,0.5335
1.5,pixel,0.0600,400,0.7859
1.5,pixel,0.0600,700,0.8180
1.5,pixel,0.0600,1000,0.8234
1.5,pixel,0.0600,1300,0.8221
1.5,pixel,0.0600,1600,0.8228
1.5,pixel,0.0600,1900,0.8251
1.5,pixel,0.0600,2100,0.8316
1.5,pixel,0.0600,2400,0.8258
1.5,pixel,0.0600,2700,0.8391
1.5,pixel,0.0600,3000,0.8349
1.5,pixel,0.0700,100,0.4585
1.5,pixel,0.0700,400,0.7559
1.5,pixel,0.0700,700,0.7864
1.5,pixel,0.0700,1000,0.7669
1.5,pixel,0.0700,1300,0.7803
1.5,pixel,0.0700,1600,0.7772
1.5,pixel,0.0700,1900,0.7912
1.5,pixel,0.0700,2100,0.7873
1.5,pixel,0.0700,2400,0.7883
1.5,pixel,0.0700,2700,0.7868
1.5,pixel,0.0700,3000,0.8004
1.5,pixel,0.0800,100,0.3645
1.5,pixel,0.0800,400,0.7142
1.5,pixel,0.0800,700,0.7726
1.5,pixel,0.0800,1000,0.7651
1.5,pixel,0.0800,1300,0.7731
1.5,pixel,0.0800,1600,0.7731
1.5,pixel,0.0800,1900,0.7845
1.5,pixel,0.0800,2100,0.7829
1.5,pixel,0.0800,2400,0.7861
1.5,pixel,0.0800,2700,0.7763
1.5,pixel,0.0800,3000,0.7836
1.5,pixel,0.0900,100,0.3874
1.5,pixel,0.0900,400,0.6903
1.5,pixel,0.0900,700,0.7332
1.5,pixel,0.0900,1000,0.7435
1.5,pixel,0.0900,1300,0.7514
1.5,pixel,0.0900,1600,0.7550
1.5,pixel,0.0900,1900,0.7559
1.5,pixel,0.0900,2100,0.7537
1.5,pixel,0.0900,2400,0.7582
1.5,pixel,0.0900,2700,0.7597
1.5,pixel,0.0900,3000,0.7521
1.5,pixel,0.1000,100,0.3662
1.5,pixel,0.1000,400,0.7243
1.5,pixel,0.1000,700,0.7522
1.5,pixel,0.1000,1000,0.7520
1.5,pixel,0.1000,1300,0.7618
1.5,pixel,0.1000,1600,0.7681
1.5,pixel,0.1000,1900,0.7619
1.5,pixel,0.1000,2100,0.7639
1.5,pixel,0.1000,2400,0.7714
1.5,pixel,0.1000,2700,0.7625
1.5,pixel,0.1000,3000,0.7586
1.5,edge,0.0000,100,0.8936
1.5,edge,0.0000,400,0.9435
1.5,edge,0.0000,700,0.9525
1.5,edge,0.0000,1000,0.9557
1.5,edge,0.0000,1300,0.9576
1.5,edge,0.0000,1600,0.9616
1.5,edge,0.0000,1900,0.9604
1.5,edge,0.0000,2100,0.9611
1.5,edge,0.0000,2400,0.9620
1.5,edge,0.0000,2700,0.9629
1.5,edge,0.0000,3000,0.9626
1.5,edge,0.0004,100,0.8816
1.5,edge,0.0004,400,0.9353
1.5,edge,0.0004,700,0.9488
1.5,edge,0.0004,1000,0.9562
1.5,edge,0.0004,1300,0.9601
1.5,edge,0.0004,1600,0.9622
1.5,edge,0.0004,1900,0.9626
1.5,edge,0.0004,2100,0.9627
1.5,edge,0.0004,2400,0.9606
1.5,edge,0.0004,2700,0.9638
1.5,edge,0.0004,3000,0.9622
1.5,edge,0.0008,100,0.8767
1.5,edge,0.0008,400,0.9357
1.5,edge,0.0008,700,0.9467
1.5,edge,0.0008,1000,0.9597
1.5,edge,0.0008,1300,0.9610
1.5,edge,0.0008,1600,0.9629
1.5,edge,0.0008,1900,0.9624
1.5,edge,0.0008,2100,0.9610
1.5,edge,0.0008,2400,0.9636
1.5,edge,0.0008,2700,0.9627
1.5,edge,0.0008,3000,0.9641
1.5,edge,0.0012,100,0.8918
1.5,edge,0.0012,400,0.9324
1.5,edge,0.0012,700,0.9545
1.5,edge,0.0012,1000,0.9578
1.5,edge,0.0012,1300,0.9622
1.5,edge,0.0012,1600,0.9583
1.5,edge,0.0012,1900,0.9647
1.5,edge,0.0012,2100,0.9655
1.5,edge,0.0012,2400,0.9624
1.5,edge,0.0012,2700,0.9635
1.5,edge,0.0012,3000,0.9635
1.5,edge,0.0016,100,0.8895
1.5,edge,0.0016,400,0.9329
1.5,edge,0.0016,700,0.9541
1.5,edge,0.0016,1000,0.9576
1.5,edge,0.0016,1300,0.9594
1.5,edge,0.0016,1600,0.9599
1.5,edge,0.0016,1900,0.9603
1.5,edge,0.0016,2100,0.9591
1.5,edge,0.0016,2400,0.9616
1.5,edge,0.0016,2700,0.9650
1.5,edge,0.0016,3000,0.9649
1.5,edge,0.0020,100,0.9042
1.5,edge,0.0020,400,0.9373
1.5,edge,0.0020,700,0.9515
1.5,edge,0.0020,1000,0.9572
1.5,edge,0.0020,1300,0.9583
1.5,edge,0.0020,1600,0.9618
1.5,edge,0.0020,1900,0.9601
