Frequency,Filter,Threshold,Frame Bitrate,Frame Count
1.5,area,0.0000,100,1324
1.5,area,0.0000,1000,1256
1.5,area,0.0000,1300,1249
1.5,area,0.0000,1600,1212
1.5,area,0.0000,1900,1231
1.5,area,0.0000,2100,1217
1.5,area,0.0000,2400,1195
1.5,area,0.0000,2700,1178
1.5,area,0.0000,3000,1189
1.5,area,0.0000,400,1302
1.5,area,0.0000,700,1250
1.5,area,0.0100,100,838
1.5,area,0.0100,1000,802
1.5,area,0.0100,1300,789
1.5,area,0.0100,1600,780
1.5,area,0.0100,1900,789
1.5,area,0.0100,2100,771
1.5,area,0.0100,2400,781
1.5,area,0.0100,2700,779
1.5,area,0.0100,3000,772
1.5,area,0.0100,400,817
1.5,area,0.0100,700,810
1.5,area,0.0200,100,474
1.5,area,0.0200,1000,465
1.5,area,0.0200,1300,467
1.5,area,0.0200,1600,468
1.5,area,0.0200,1900,466
1.5,area,0.0200,2100,463
1.5,area,0.0200,2400,465
1.5,area,0.0200,2700,467
1.5,area,0.0200,3000,462
1.5,area,0.0200,400,471
1.5,area,0.0200,700,470
1.5,area,0.0300,100,261
1.5,area,0.0300,1000,259
1.5,area,0.0300,1300,261
1.5,area,0.0300,1600,262
1.5,area,0.0300,1900,261
1.5,area,0.0300,2100,261
1.5,area,0.0300,2400,260
1.5,area,0.0300,2700,260
1.5,area,0.0300,3000,263
1.5,area,0.0300,400,263
1.5,area,0.0300,700,263
1.5,area,0.0400,100,134
1.5,area,0.0400,1000,134
1.5,area,0.0400,1300,134
1.5,area,0.0400,1600,133
1.5,area,0.0400,1900,134
1.5,area,0.0400,2100,134
1.5,area,0.0400,2400,134
1.5,area,0.0400,2700,134
1.5,area,0.0400,3000,133
1.5,area,0.0400,400,135
1.5,area,0.0400,700,135
1.5,area,0.0500,100,75
1.5,area,0.0500,1000,75
1.5,area,0.0500,1300,75
1.5,area,0.0500,1600,75
1.5,area,0.0500,1900,75
1.5,area,0.0500,2100,75
1.5,area,0.0500,2400,75
1.5,area,0.0500,2700,75
1.5,area,0.0500,3000,75
1.5,area,0.0500,400,75
1.5,area,0.0500,700,75
1.5,area,0.0600,100,47
1.5,area,0.0600,1000,47
1.5,area,0.0600,1300,46
1.5,area,0.0600,1600,47
1.5,area,0.0600,1900,46
1.5,area,0.0600,2100,46
1.5,area,0.0600,2400,47
1.5,area,0.0600,2700,47
1.5,area,0.0600,3000,47
1.5,area,0.0600,400,46
1.5,area,0.0600,700,47
1.5,area,0.0700,100,32
1.5,area,0.0700,1000,32
1.5,area,0.0700,1300,32
1.5,area,0.0700,1600,32
1.5,area,0.0700,1900,32
1.5,area,0.0700,2100,32
1.5,area,0.0700,2400,32
1.5,area,0.0700,2700,32
1.5,area,0.0700,3000,32
1.5,area,0.0700,400,32
1.5,area,0.0700,700,32
1.5,area,0.0800,100,20
1.5,area,0.0800,1000,20
1.5,area,0.0800,1300,20
1.5,area,0.0800,1600,20
1.5,area,0.0800,1900,20
1.5,area,0.0800,2100,20
1.5,area,0.0800,2400,20
1.5,area,0.0800,2700,20
1.5,area,0.0800,3000,20
1.5,area,0.0800,400,20
1.5,area,0.0800,700,20
1.5,area,0.0900,100,17
1.5,area,0.0900,1000,17
1.5,area,0.0900,1300,17
1.5,area,0.0900,1600,17
1.5,area,0.0900,1900,17
1.5,area,0.0900,2100,17
1.5,area,0.0900,2400,17
1.5,area,0.0900,2700,17
1.5,area,0.0900,3000,17
1.5,area,0.0900,400,17
1.5,area,0.0900,700,17
1.5,area,0.1000,100,11
1.5,area,0.1000,1000,11
1.5,area,0.1000,1300,11
1.5,area,0.1000,1600,11
1.5,area,0.1000,1900,11
1.5,area,0.1000,2100,11
1.5,area,0.1000,2400,11
1.5,area,0.1000,2700,11
1.5,area,0.1000,3000,11
1.5,area,0.1000,400,11
1.5,area,0.1000,700,11
1.5,edge,0.0000,100,1467
1.5,edge,0.0000,1000,1299
1.5,edge,0.0000,1300,1261
1.5,edge,0.0000,1600,1265
1.5,edge,0.0000,1900,1261
1.5,edge,0.0000,2100,1245
1.5,edge,0.0000,2400,1226
1.5,edge,0.0000,2700,1220
1.5,edge,0.0000,3000,1254
1.5,edge,0.0000,400,1399
1.5,edge,0.0000,700,1348
1.5,edge,0.0004,100,1252
1.5,edge,0.0004,1000,1163
1.5,edge,0.0004,1300,1150
1.5,edge,0.0004,1600,1139
1.5,edge,0.0004,1900,1120
1.5,edge,0.0004,2100,1112
1.5,edge,0.0004,2400,1113
1.5,edge,0.0004,2700,1109
1.5,edge,0.0004,3000,1096
1.5,edge,0.0004,400,1220
